City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
7,Hermanus,ZA,63.0,-34.42,19.23,Misty Waves Boutique Hotel
8,Pisco,PE,63.0,-13.7,-76.22,Hostal San Isidro Oficial
10,Port Alfred,ZA,62.76,-33.59,26.89,The Halyards Hotel
25,Bredasdorp,ZA,62.6,-34.53,20.04,Bredasdorp Country Manor
57,Linjiang,CN,61.57,41.81,126.91,Mingmen Business Hotel
77,Khasan,RU,64.31,42.43,130.64,Krako Motorkár
81,Fortuna,US,62.6,40.6,-124.16,Super 8 by Wyndham Fortuna
104,Ballina,AU,62.6,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
112,Port Elizabeth,ZA,61.0,-33.92,25.57,39 On Nile Guest House
127,Marstal,DK,62.6,54.86,10.52,Aero Hotel
158,Marienburg,PL,62.01,54.04,19.03,Hotel Centrum Malbork
160,Margate,GB,64.99,51.38,1.39,Premier Inn Margate hotel
196,Kruisfontein,ZA,61.0,-34.0,24.73,Oyster Bay House Rental
200,Bonavista,CA,61.52,48.65,-53.11,Abbott's Bed & Breakfast
207,Concordia,AR,62.6,-31.39,-58.02,Palmar Hotel Casino
212,Northam,GB,62.01,51.03,-4.22,Durrant House Hotel
245,Nikolskoye,RU,61.0,59.7,30.79,Tourist House - Sablino
252,Axapusco,MX,62.6,19.73,-98.75,OYO Hotel Franco
278,Cidreira,BR,60.48,-30.18,-50.21,Hotel Castelo
281,Ratne,UA,63.46,51.67,24.53,Гостинна садиба «У Коріня»
285,Wlodawa,PL,60.8,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
289,Datong,CN,63.07,40.09,113.29,Holiday Inn Datong City Centre
314,Moses Lake,US,62.6,47.13,-119.28,Ramada by Wyndham Moses Lake
382,Camana,PE,64.58,-16.62,-72.71,Hostal Morales
400,Soe,ID,61.77,-9.86,124.28,Dena Hotel
404,Karla,EE,60.8,59.37,24.93,River Villa
430,Vanino,RU,61.45,49.09,140.25,Гостиница 5 Звезд
441,Chifeng,CN,62.56,42.27,118.96,Junyu Tiancheng Hotel
445,Ornskoldsvik,SE,62.6,63.29,18.72,First Hotel Statt
463,Robe,AU,60.57,-37.18,139.75,Harbour View Motel
466,Dali,CN,64.04,25.7,100.18,Dali Travelling With Hostel
468,Mbeya,TZ,61.29,-8.9,33.45,Leda Lodge
481,Kinlochleven,GB,61.0,56.71,-4.97,The Tailrace Inn
511,Ferme-Neuve,CA,62.26,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
524,Portland,US,63.0,45.52,-122.68,Portland Marriott City Center
528,Shelburne,CA,64.99,44.08,-80.2,The Retreat at the Farm
539,Buin,CL,61.0,-33.73,-70.75,Paihuen
552,Newport,GB,64.99,51.59,-3.0,ibis budget Newport
559,Svetlyy,RU,62.6,54.67,20.13,"Gostinitsa-Kafe, Alena"
561,Lasa,IT,64.99,46.62,10.7,Pension Feldgärtenhof
565,Puchezh,RU,64.71,56.98,43.17,"Blue, holiday home"
583,Mutoko,ZW,62.33,-17.4,32.23,Nyamakwere Lodges
661,Murray Bridge,AU,64.0,-35.12,139.27,Balcony On Sixth Lodge
663,Grenaa,DK,62.6,56.42,10.88,Hotel Marina
667,Mutare,ZW,60.87,-18.97,32.67,Ann Bruce Backpackers
